INDEX_,HOUR,DAYOFWEEK,VISIBILITY,LIGHT,RDSFCOND,TEMP,REL_HUMID,LOCCOORD,TRAFFCTL,ROADCLASS,SPEEDLMT,VEH_ADT,PED_ADT,LAND_USE,POP_2021,PRIV_DWELL,LAND_AREA,INVAGE,PEDCOND,PEDACT,VEHINV,VIOL,INJURY
80792945,15,weekday,Snow,Daylight,Snow,-7.4,0.79,Midblock,No Control,Local,50,19.0,2.0,Residential,983,465,437,30 to 44,Normal,Other,automobile,speeding,Minimal
80769557,3,weekday,Clear,Daylight,Wet,24.0,0.78,Intersection,Other Traffic Control,Major Arterial,60,386.0,30.0,Residential,755,221,211,15 to 29,Distracted,Crossing without ROW,cyclist,speeding,Major
80937555,21,weekday,Clear,Dusk,Dry,11.6,0.47,Intersection,Traffic Signal including Transit,Minor Arterial,60,398.0,66.0,Residential,281,158,133,15 to 29,Normal,Crossing without ROW,automobile,speeding,Major
80793625,15,weekday,Snow,Daylight,Snow,-7.4,0.79,Midblock,No Control,Local,50,19.0,2.0,Residential,983,465,437,Under 15,Normal,Other,automobile,speeding,Fatal
80734257,5,weekday,Clear,Dark,Dry,3.5,0.81,Intersection,Traffic Signal including Transit,Major Arterial,60,542.0,831.0,Mixed Use,2382,1663,1312,30 to 44,Distracted,Other,truck,speeding,Major
80947178,14,weekend,Clear,Daylight,Dry,27.2,0.64,Intersection,Traffic Signal including Transit,Major Arterial,60,688.0,14.0,Commercial,514,190,181,45 to 64,Normal,Crossing with ROW,automobile,speeding,Major
80877083,9,weekday,Unknown,Daylight,Unknown,16.1,0.82,Intersection,Traffic Signal including Transit,Major Arterial,60,748.0,120.0,Parks,465,162,153,Over 65,Unknown,Crossing with ROW,automobile,aggressive driving,Fatal
80909232,16,weekday,Snow,Daylight,Snow,-6.8,0.79,Intersection,No Control,Major Arterial,60,367.0,360.0,Mixed Use,1165,839,706,45 to 64,Normal,Crossing with ROW and no control,automobile,aggressive driving,Major
80777458,16,weekend,Clear,Daylight,Dry,15.3,0.54,Intersection,No Control,Major Arterial,60,220.0,49.0,Residential,450,319,256,45 to 64,Distracted,Crossing with ROW and no control,transit vehicle,speeding,Major
81134410,15,weekend,Clear,Daylight,Dry,12.6,0.86,Intersection,No Control,Local,50,59.0,7.0,Residential,585,361,323,Under 15,Normal,Other,automobile,speeding,Major
80949667,2,weekday,Clear,Dark,Dry,19.2,0.63,Intersection,No Control,Local,50,117.0,38.0,Residential,787,555,504,30 to 44,Normal,Other,automobile,speeding,Major
80942982,21,weekend,Clear,Dark,Dry,2.2,0.78,Midblock,No Control,Major Arterial,60,746.0,4.0,Commercial,817,243,233,45 to 64,Distracted,Crossing with ROW and no control,automobile,speeding,Major
80943370,21,weekend,Clear,Dusk,Dry,14.4,0.35,Intersection,No Control,Collector,50,132.0,20.0,Parks,998,322,310,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Minimal
80943371,21,weekend,Clear,Dusk,Dry,14.4,0.35,Intersection,No Control,Collector,50,132.0,20.0,Parks,998,322,310,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
80734347,17,weekday,Clear,Dark,Dry,2.8,0.83,Midblock,No Control,Collector,50,46.0,2.0,Mixed Use,685,227,223,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Major
80777602,22,weekend,Clear,Dark,Dry,10.5,0.81,Intersection,No Control,Major Arterial,60,494.0,17.0,Residential,483,209,195,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
80632105,16,weekday,Clear,Daylight,Dry,30.4,0.56,Intersection,Traffic Signal including Transit,Major Arterial,60,346.0,42.0,Residential,471,173,164,15 to 29,Normal,Other,automobile,speeding,Major
80917294,23,weekday,Rain,Dark,Wet,1.6,0.96,Midblock,No Control,Major Arterial,60,488.0,752.0,Residential,374,203,175,30 to 44,Impaired - Alcohol (BAC = Normal),Crossing with ROW and no control,automobile,speeding,Major
80947091,7,weekday,Clear,Daylight,Dry,18.9,0.49,Intersection,Pedestrian Crossover,Minor Arterial,60,224.0,5.0,Residential,1342,682,637,30 to 44,Normal,Crossing with ROW,automobile,aggressive driving,Major
80776693,22,weekend,Clear,Dark,Dry,11.4,0.59,Intersection,No Control,Major Arterial,60,377.0,10.0,Residential,695,256,234,15 to 29,Normal,Crossing without ROW,automobile,speeding,Major
80632106,16,weekday,Clear,Daylight,Dry,30.4,0.56,Intersection,Traffic Signal including Transit,Major Arterial,60,346.0,42.0,Residential,471,173,164,15 to 29,Normal,Other,automobile,speeding,Minor
80907325,16,weekday,Freezing Rain,Daylight,Wet,0.5,0.87,Midblock,No Control,Collector,50,474.0,166.0,Mixed Use,1902,1184,1038,30 to 44,Other,Crossing without ROW,automobile,speeding,Major
80942987,13,weekday,Clear,Daylight,Dry,14.7,0.78,Midblock,No Control,Major Arterial,60,496.0,15.0,Residential,516,199,193,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Major
80776910,18,weekday,Clear,Daylight,Dry,18.0,0.38,Intersection,No Control,Major Arterial,60,479.0,26.0,Residential,275,97,93,15 to 29,Medical or Physical Disability,Crossing with ROW and no control,automobile,speeding,Major
80915976,7,weekday,Clear,Daylight,Dry,-9.1,0.67,Intersection,Traffic Signal including Transit,Major Arterial,60,290.0,129.0,Residential,649,548,474,15 to 29,Distracted,Crossing without ROW,automobile,speeding,Major
80947487,15,weekday,Clear,Daylight,Dry,29.6,0.52,Intersection,Traffic Signal including Transit,Minor Arterial,60,318.0,217.0,Institutional,1002,797,587,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
80632109,9,weekday,Rain,Daylight,Wet,21.6,0.91,Intersection,Traffic Signal including Transit,Minor Arterial,60,416.0,116.0,Residential,304,171,152,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
80546834,9,weekday,Clear,Daylight,Dry,25.0,0.65,Intersection,Traffic Signal including Transit,Major Arterial,60,581.0,24.0,Parks,939,526,501,Over 65,Other,Crossing with ROW and no control,automobile,speeding,Fatal
80793624,11,weekday,Clear,Daylight,Dry,-8.4,0.59,Midblock,Traffic Signal including Transit,Major Arterial,60,291.0,12.0,Residential,1937,861,832,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Fatal
80903296,15,weekday,Clear,Daylight,Dry,15.2,0.52,Intersection,No Control,Local,50,165.0,7.0,Residential,531,196,190,Under 15,Distracted,Crossing without ROW,automobile,speeding,Major
80948669,0,weekday,Clear,Dark,Dry,20.3,0.67,Intersection,Traffic Signal including Transit,Major Arterial,60,342.0,35.0,Residential,485,268,244,45 to 64,Unknown,Crossing with ROW,truck,aggressive driving,Fatal
80773787,19,weekday,Rain,Dark,Wet,3.8,0.85,Intersection,Traffic Signal including Transit,Major Arterial,60,398.0,63.0,Residential,894,523,475,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
80609331,1,weekend,Clear,Dark,Dry,-1.0,0.76,Midblock,No Control,Major Arterial,60,141.0,35.0,Unknown,798,530,478,15 to 29,Other,Crossing without ROW,automobile,speeding,Fatal
80943885,10,weekend,Clear,Daylight,Dry,22.2,0.61,Intersection,No Control,Minor Arterial,60,163.0,31.0,Residential,424,125,117,Over 65,Normal,Other,automobile,speeding,Major
80903332,14,weekday,Clear,Daylight,Dry,2.0,0.59,Midblock,No Control,Minor Arterial,60,337.0,236.0,Parks,2650,1935,1676,15 to 29,Distracted,Crossing with ROW and no control,transit vehicle,speeding,Major
80947986,3,weekend,Clear,Daylight,Dry,15.1,0.81,Intersection,Traffic Signal including Transit,Major Arterial,60,361.0,40.0,Mixed Use,2043,1202,1018,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
80632119,18,weekday,Clear,Daylight,Dry,24.9,0.69,Intersection,Traffic Signal including Transit,Major Arterial,60,640.0,44.0,Residential,1610,671,606,30 to 44,Distracted,Crossing without ROW,automobile,speeding,Major
80929712,1,weekend,Clear,Dark,Dry,3.0,0.7,Intersection,Traffic Signal including Transit,Major Arterial,60,473.0,32.0,Parks,725,331,308,45 to 64,Impaired - Alcohol (BAC = Normal),Crossing without ROW,automobile,speeding,Major
80943797,19,weekend,Clear,Daylight,Dry,22.0,0.67,Intersection,Other Traffic Control,Local,50,105.0,2.0,Residential,1974,502,493,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
80632131,13,weekday,Clear,Daylight,Dry,21.4,0.53,Intersection,Traffic Signal including Transit,Minor Arterial,60,456.0,108.0,Residential,349,165,145,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
